"uri","answering body","answer text","answering member > label","answering member constituency","answering member printed","date of answer","uin"
"http://data.parliament.uk/resources/100085/answer","Department for Business, Innovation and Skills","<p>The table below shows the proportion, expressed as a percentage, of small and medium-sized enterprises (SMEs) of the total number of exporters UK Export Finance (UKEF) has supported broken down by UKEF product for the last five financial full years.</p><p> </p><p> </p><p> </p><table><tbody><tr><td><p> </p></td><td><p>2009/10</p></td><td><p>2010/11</p></td><td><p>2011/12</p></td><td><p>2012/13</p></td><td><p>2013/14</p></td></tr><tr><td><p>Buyer Credit</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>11%</p></td><td><p>7%</p></td></tr><tr><td><p>Bond Support Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>67%</p></td><td><p>78%</p></td><td><p>91%</p></td></tr><tr><td><p>Export Insurance Policy</p></td><td><p>20%</p></td><td><p>75%</p></td><td><p>75%</p></td><td><p>54%</p></td><td><p>63%</p></td></tr><tr><td><p>Export Working Capital Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>0%</p></td><td><p>83%</p></td><td><p>100%</p></td></tr><tr><td><p>Letter of Credit Guarantee Scheme</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>50%</p></td></tr><tr><td><p>Supplier Credit Facility</p></td><td><p>0%</p></td><td><p>50%</p></td><td><p>29%</p></td><td><p>33%</p></td><td><p>0%</p></td></tr></tbody></table><p> </p><p>*Products launched in 2011/12</p><p> </p><p> </p><p> </p><p>SMEs are defined by the EU as companies that have fewer than 250 employees, and either a turnover of less than €50m or a balance sheet total of less than €43m.</p><p> </p><p>Information on UKEFs Bond Support Scheme has been included given that it was introduced specifically to support to smaller exporters, especially SMEs.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-27","211333"
"http://data.parliament.uk/resources/100086/answer","Department for Business, Innovation and Skills","<p>The table below shows the proportion, expressed as a percentage, of small and medium-sized enterprises (SMEs) of the total number of exporters UK Export Finance (UKEF) has supported broken down by UKEF product for the last five financial full years.</p><p> </p><p> </p><p> </p><table><tbody><tr><td><p> </p></td><td><p>2009/10</p></td><td><p>2010/11</p></td><td><p>2011/12</p></td><td><p>2012/13</p></td><td><p>2013/14</p></td></tr><tr><td><p>Buyer Credit</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>11%</p></td><td><p>7%</p></td></tr><tr><td><p>Bond Support Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>67%</p></td><td><p>78%</p></td><td><p>91%</p></td></tr><tr><td><p>Export Insurance Policy</p></td><td><p>20%</p></td><td><p>75%</p></td><td><p>75%</p></td><td><p>54%</p></td><td><p>63%</p></td></tr><tr><td><p>Export Working Capital Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>0%</p></td><td><p>83%</p></td><td><p>100%</p></td></tr><tr><td><p>Letter of Credit Guarantee Scheme</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>50%</p></td></tr><tr><td><p>Supplier Credit Facility</p></td><td><p>0%</p></td><td><p>50%</p></td><td><p>29%</p></td><td><p>33%</p></td><td><p>0%</p></td></tr></tbody></table><p> </p><p>*Products launched in 2011/12</p><p> </p><p> </p><p> </p><p>SMEs are defined by the EU as companies that have fewer than 250 employees, and either a turnover of less than €50m or a balance sheet total of less than €43m.</p><p> </p><p>Information on UKEFs Bond Support Scheme has been included given that it was introduced specifically to support to smaller exporters, especially SMEs.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-27","211334"
"http://data.parliament.uk/resources/100087/answer","Department for Business, Innovation and Skills","<p>The table below shows the proportion, expressed as a percentage, of small and medium-sized enterprises (SMEs) of the total number of exporters UK Export Finance (UKEF) has supported broken down by UKEF product for the last five financial full years.</p><p> </p><p> </p><p> </p><table><tbody><tr><td><p> </p></td><td><p>2009/10</p></td><td><p>2010/11</p></td><td><p>2011/12</p></td><td><p>2012/13</p></td><td><p>2013/14</p></td></tr><tr><td><p>Buyer Credit</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>11%</p></td><td><p>7%</p></td></tr><tr><td><p>Bond Support Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>67%</p></td><td><p>78%</p></td><td><p>91%</p></td></tr><tr><td><p>Export Insurance Policy</p></td><td><p>20%</p></td><td><p>75%</p></td><td><p>75%</p></td><td><p>54%</p></td><td><p>63%</p></td></tr><tr><td><p>Export Working Capital Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>0%</p></td><td><p>83%</p></td><td><p>100%</p></td></tr><tr><td><p>Letter of Credit Guarantee Scheme</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>50%</p></td></tr><tr><td><p>Supplier Credit Facility</p></td><td><p>0%</p></td><td><p>50%</p></td><td><p>29%</p></td><td><p>33%</p></td><td><p>0%</p></td></tr></tbody></table><p> </p><p>*Products launched in 2011/12</p><p> </p><p> </p><p> </p><p>SMEs are defined by the EU as companies that have fewer than 250 employees, and either a turnover of less than €50m or a balance sheet total of less than €43m.</p><p> </p><p>Information on UKEFs Bond Support Scheme has been included given that it was introduced specifically to support to smaller exporters, especially SMEs.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-27","211335"
"http://data.parliament.uk/resources/100088/answer","Department for Business, Innovation and Skills","<p>Early Conciliation was introduced in April 2014 and it is too early to make any meaningful assessment on the effect of Early Conciliation on Employment Tribunal cases at this stage. However, officials in the Department and Acas are already monitoring the impact of Early Conciliation and I will make an announcement on evaluation in due course, once we have a sufficient evidence base to do so.</p>","Biography information for Jo Swinson","East Dunbartonshire","Jo Swinson","2014-10-24","211244"
"http://data.parliament.uk/resources/100089/answer","Department for Business, Innovation and Skills","<p>I have asked the British Business Bank to publish its analysis of equity finance available to UK small business before the end of the year, which will include analysis on UK venture capital. The Department also published an economics paper in January 2012 on SME access to finance, which summarized the evidence at that time about the equity gap in UK venture capital. The paper is available at the following web address: <a href="https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/32263/12-539-sme-access-external-finance.pdf" target="_blank">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/32263/12-539-sme-access-external-finance.pdf</a></p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211212"
"http://data.parliament.uk/resources/100090/answer","Department for Business, Innovation and Skills","<p>The Government remains committed to a healthy and growing steel industry in the UK and as part of this we are supporting the development of skills in the sector.</p><p> </p><p> </p><p> </p><p>We are funding over 100 postgraduate research students working on Tata projects, over 250 apprentices and directly offering over £2 million for direct training of staff.</p><p> </p><p> </p><p> </p><p>To boost the pool of potential engineers, Government is making a series of interventions, including £30 million in funding for employers to bid for to address engineering skills shortages in sectors with specific needs and an £18 million investment in a new National College at the Manufacturing Technology Centre in Coventry.</p><p> </p><p> </p><p> </p><p>Total numbers of apprentices starting apprenticeships in the Engineering and Manufacturing Sector stood at 42,520 in 2009/10 which grew to 66,410 in 2012/13.</p><p> </p><p> </p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211386"
"http://data.parliament.uk/resources/100091/answer","Department for Business, Innovation and Skills","<p>The Secretary of State for Business, Innovation and Skills met the global head of Tata in India on 14th October, who re-affirmed his company's commitment to the British steel industry and to investing substantially in Port Talbot and strip steel.</p><p> </p><p> </p><p> </p><p>Working within EU rules, we are implementing a £7billion package of measures to address energy costs including £3billion to compensate energy intensive businesses for the impact of policy costs in their electricity bills.</p><p> </p><p> </p><p> </p><p>The Government has offered just over £12.7 million in funding through the Advanced Manufacturing Supply Chain Initiative (AMSCI) for the £22 million Proving Factory, which specialises in the industrialisation and low-volume production of advanced propulsion systems to automotive standards. Tata Steel is a key partner in this project, which is already producing commercial products.</p><p> </p><p> </p><p> </p><p>Rounds 1 to 5 of the RGF have supported 430 projects and programmes across England – allocating £2.9 billion of government support. We project this to deliver 573,000 jobs and £16 billion of private investment between now and the mid-2020s.</p><p> </p><p> </p><p> </p><p>The 2014 Budget doubled the annual investment allowance to £500,000 until the end of 2015. Government has also cut corporation tax from 28% to 21% - it will fall to 20% next year, the joint lowest rate in the G20, making Britain one of the most attractive places to invest and do business.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211387"
"http://data.parliament.uk/resources/100092/answer","Department for Business, Innovation and Skills","<p>Under the Flexible Working Regulations, brought in on 30 June, all employees with 26 continuous weeks of service have the right to request flexible working from their employer. Individuals on zero hours contracts, who are employees, can request a change in their contracts, which could also include a request to move to a fixed hours contract.</p><p> </p>","Biography information for Jo Swinson","East Dunbartonshire","Jo Swinson","2014-10-27","211362"
"http://data.parliament.uk/resources/100093/answer","Department for Business, Innovation and Skills","<p>The Government is backing the three-year Your Life campaign, which aims to increase the number of people participating in a wide range of careers that need skills in science, technology, engineering and maths, particularly women. To date more than 200 organisations have pledged action to the campaign to boost the role of women in STEM fields. A publicity drive to encourage young people, especially girls, aged 14 to 16 to take STEM subjects, will launch in November 2014.</p><p>We fund the Royal Society and Royal Academy of Engineering to run a joint STEM Diversity Programme to understand and address issues of diversity, including gender, in the STEM workforce. Actions include a 10 point plan to ensure that women in science, technology, engineering and manufacturing have the same opportunities to progress in their career as their male counterparts</p>","Biography information for Greg Clark","Tunbridge Wells","Greg Clark","2014-10-27","211363"
"http://data.parliament.uk/resources/100094/answer","Department for Business, Innovation and Skills","<p>Work is the best route out of poverty. Universal Credit allows people who work to keep more of the money that they earn by introducing work allowances, which, in most cases, are more generous than the current system. The Department for Work and Pensions estimates that 2.4 million working families will be better off, potentially by £167 per month, as a result of Universal Credit. Furthermore, additional support for childcare costs for families on Universal Credit will see 500,000 working families getting more out of the money they earn.</p><p> </p><p> </p><p> </p>","Biography information for Jo Swinson","East Dunbartonshire","Jo Swinson","2014-10-28","211364"
"http://data.parliament.uk/resources/100095/answer","Department for Business, Innovation and Skills","<p>I have received no recent representations about ensuring the presence of workforce representatives on Board of Directors of companies. Giving employees both a meaningful stake and a ‘voice’ in the business can lead to growth and productivity benefits. While what is right will vary from business to business, I therefore encourage employee ownership. Guidance, model documents and links to further expert advice for businesses and employees considering a move to employee ownership, are at:</p><p> </p><p><a href="https://www.gov.uk/government/publications/employee-ownership-company-model-documentation" target="_blank">https://www.gov.uk/government/publications/employee-ownership-company-model-documentation</a></p><p> </p><p><a href="https://www.gov.uk/government/publications/employee-ownership-guide-for-employees" target="_blank">https://www.gov.uk/government/publications/employee-ownership-guide-for-employees</a></p><p> </p><p> </p><p> </p><p>Research also suggests a link between employee engagement and enhanced employee wellbeing. Initiatives such as Engage for Success (<a href="http://www.engageforsuccess.org/" target="_blank">http://www.engageforsuccess.org/</a>) support employers to bring these practices into their workplaces.</p>","Biography information for Jo Swinson","East Dunbartonshire","Jo Swinson","2014-10-28","211365"
"http://data.parliament.uk/resources/100096/answer","Department for Business, Innovation and Skills","<p>Business is being encouraged to invest by a strong stable economy; competitive corporate tax rates; a good regulatory environment; strong legal frameworks; a dynamic labour market and a long-term sustainable industrial strategy. This provides stability for UK businesses and gives them the confidence to invest.</p><p>A £3.2 billion Regional Growth Fund (RGF) is providing investment, across England, for projects and programmes such as capital investment, training and research &amp; development. Additionally, the Advanced Manufacturing Supply Chain Initiative (AMSCI) has made £345 million available, over 5 national rounds and a regional scheme, to support the repatriation, anchoring and growth of supply chains in England.</p><p>The Government continues to support inward investment in the UK and, in Coventry &amp; Warwickshire, the local LEP successfully achieved 43 Foreign Direct Investment projects in 2013/14 (30 involving UKTI) - an increase on 2012/13 - creating 2,427 new jobs and safeguarding 719. The majority of these projects are spread across advanced engineering &amp; manufacturing and business, professional &amp; financial services.</p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211366"
"http://data.parliament.uk/resources/100097/answer","Department for Business, Innovation and Skills","<p>Through Reshore UK, which brings together the expertise of UKTI and MAS, we are backing business every step of the way to bring back jobs and strengthen our manufacturing base. The Government’s Advanced Manufacturing Supply Chain Initiative (AMSCI) has made £345 million available to support the repatriation, anchoring and growth of manufacturing supply chains in the UK.</p><p>The Manufacturing Advisory Service (MAS) has a specific requirement to support manufacturing supply chain activity. £59.3 million has been allocated over 3 years and more than 17,250 manufacturing firms have already received specialist support from MAS, helping them improve and grow.</p><p>To support commercialisation of technology and innovation, Government has launched the High Value Manufacturing Catapult and 16 new university-based EPSRC Centres for Innovative Manufacturing. Budget 2014 included a further £74 million investment in the Catapult network.</p><p>Government has also created a Skills package that supports businesses in taking on apprentices and provides support for investment in higher level skills: providing an additional £85 million to extend Apprenticeship Grants for Employers Scheme; and £20 million for apprenticeships up to postgraduate level.</p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211368"
"http://data.parliament.uk/resources/100098/answer","Department for Business, Innovation and Skills","<p>The Government's economic policy objective is to achieve 'strong, sustainable and balanced growth that is more evenly shared across the country and between industries.' The economy is growing and unemployment falling in all regions.</p><p> </p><p> </p><p> </p><p>To date significant progress has been made to achieve this. This includes:</p><p> </p><p> </p><p> </p><p>· Industrial strategy, through which the whole of government is working in partnership with industry to set the long term direction needed to give business the confidence to invest. Industrial strategy has already helped to create jobs and encourage significant investment by industry. Notable examples include the announcements by Siemens and the UK’s Associated British Ports to invest a total of £310m in wind turbine factories in Hull and across the UK creating over 1,000 jobs and Balfour Beatty to spend a record £1bn in 2014 on contracts with SMEs across the country.</p><p> </p><p> </p><p> </p><p>· Growth Deals. These are a crucial part of the Government’s long term economic plan to secure a better future and stronger economy for our country. The first £6bn of local projects agreed under the first wave of Growth Deals were announced in July 2014. This includes £74.1million invested in the Coventry and Warwickshire Local Enterprise Partnership area, which will help to create at least 1,000 jobs and allow up to 1,000 homes to be built. It will also generate up to £30million in public and private investment</p><p> </p><p> </p><p> </p><p>· Finally, the Regional Growth Fund which is a competitive £3.2 billion government fund operating across England to provide grants to private sector projects and programmes with significant potential for economic growth and support particular areas and communities that are currently dependent on the public sector for employment. To date £2.9 billion has been allocated across England with over £1 billion going to projects and programmes in the north and £670 million to nationwide programmes. These investments have in turn generated £2.4 billion of private investment with a further £13.6 billion to follow over the next ten years.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211369"
"http://data.parliament.uk/resources/100099/answer","Department for Business, Innovation and Skills","<p>UK Trade &amp; Investment (UKTI) staff are providing expert trade advice and practical support to UK-based manufacturing companies growing their business overseas and helping them trade successfully in foreign markets.</p><p>Exports of manufactured goods from the West Midlands region increased by over £4 million between 2012 and 2013.</p><p>UKTI involvement has directly assisted a number of West Midland companies increase exports and overseas sales; leading to bigger workforces, investment in new machinery and expansion of premises. Additionally, UKTI has helped West Midland companies attend international trade shows, raising companies’ profiles and significantly increasing the total business turnover. UKTI also provides overseas sales support enabling West Midlands companies to successfully acquire multi million pound contracts.</p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211367"
"http://data.parliament.uk/resources/100100/answer","Department for Business, Innovation and Skills","<p>The Department has made no systematic assessment of the effect of the precautionary principle on scientific innovation in the UK.</p><p> </p>","Biography information for Greg Clark","Tunbridge Wells","Greg Clark","2014-10-30","211393"
"http://data.parliament.uk/resources/100101/answer","Department for Business, Innovation and Skills","<p>We are supporting and encouraging the Metals Sector, through the Metals Forum (an umbrella group of Trade Associations), on the development of a Metals Strategy; this will bring Metals into line with other important Foundation Industries such as Electronics and Chemicals which have already published strategies. This is expected to be published by the Metals Sector next spring.</p><p> </p><p> </p><p> </p><p>The Steel industry is strong in the UK, having achieved 23% growth in output since 2010[1], and has a sustainable long term future. High technology industries such as aerospace, automotive and construction all require high value, continually improving steel products in order to remain competitive.</p><p> </p><p> </p><p> </p><p>The Government works closely with the steel industry on a range of issues related to maintaining an internationally competitive steel sector in the UK. However, the EU State Aid rules limit what direct help can be offered to steel companies - R&amp;D, environmental protection and some training can be supported, but not operational aid.</p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><br /><p>[1] Source - Iron &amp; Steel Statistics Bureau (ISSB) .</p><p> </p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211385"
"http://data.parliament.uk/resources/100102/answer","Department for Business, Innovation and Skills","<p>Innovate UK is the new name for the Technology Strategy Board.</p><p> </p><p> </p><p> </p><p>In 2011/12 Innovate UK did not provide any funds to organisations in the video games sector. In 2012/13, it provided £277k (0.06% of its core budget) to organisations in the video games sector and in 2013/14 it provided £1.9m (0.4% of its core budget).</p><p> </p><p> </p><p> </p><p>The figures above do not include any awards made under Innovate UK’s Smart or Knowledge Transfer Partnership programmes, as this information can only be provided at disproportionate cost.</p><p> </p><p> </p><p> </p>","Biography information for Mr Edward Vaizey","Wantage","Mr Edward Vaizey","2014-10-24","211397"
"http://data.parliament.uk/resources/100103/answer","Department for Business, Innovation and Skills","<p>£7.5m was spent by HM Revenue and Customs on the enforcement of the National Minimum Wage in 2013/14.</p><p>We have increased the budget allocation for National Minimum Wage enforcement in 2014/15 to £9.2m. This extra funding will enable HMRC to increase the number of compliance officers working in this area who, as well as continuing to respond to every complaint made to the Pay and Work Rights Helpline, will also undertake targeted enforcement, focusing on the worst offending employers in the highest-risk sectors.</p><p>Anyone who believes they are entitled to the National Minimum Wage and has not received it should contact this free and confidential helpline on 0800 917 2368.</p>","Biography information for Jo Swinson","East Dunbartonshire","Jo Swinson","2014-10-24","211245"
"http://data.parliament.uk/resources/100104/answer","HM Treasury","<p>The Government has made no such assessment but keeps all tax policies under review.</p><p> </p>","Biography information for Mr David Gauke","South West Hertfordshire","Mr David Gauke","2014-10-29","211222"
"http://data.parliament.uk/resources/100105/answer","HM Treasury","<p>Information is provided in Table 3.5 ‘Income and deductions’ that is available on the HMRC website at:</p><p> </p><p><a href="https://www.gov.uk/government/statistics/deductions-and-reliefs-2010-to-2011" target="_blank">https://www.gov.uk/government/statistics/deductions-and-reliefs-2010-to-2011</a></p><p> </p>","Biography information for Mr David Gauke","South West Hertfordshire","Mr David Gauke","2014-10-27","211232"
"http://data.parliament.uk/resources/100106/answer","Ministry of Defence","<p>When Defence Equipment and Support (DE&amp;S) became a bespoke trading entity on 1 April 2014 it was given a broad range of freedoms, agreed by HM Treasury and the Cabinet Office, to allow it to manage its business, outputs and workforce within an operating cost envelope set to drive significant efficiencies. The bidders for the Managed Service Provider work packages are not granted freedoms and flexibilities; they are being procured via standard commercial practices to provide tailored external skills to support DE&amp;S as it uses its freedoms to transform and to deliver the equipment programme.</p><p> </p><p> </p><p> </p><p> </p>","Biography information for Mr Philip Dunne","Ludlow","Mr Philip Dunne","2014-10-28","211274"
"http://data.parliament.uk/resources/100107/answer","HM Treasury","<p>This Government is committed to a competitive tax regime and has introduced a range of measures to reduce the burden of National Insurance Contributions (NICs), as part of our long term economic plan to back business and create jobs.</p><p> </p><p> </p><p> </p><p>The Employment Allowance, introduced in April this year, means that around 450,000 employers– one third of all employers – are expected to be taken out of paying employer NICs altogether in 2014-15 and from April 2015, employer NICs for under 21 year olds will be abolished, helping to support jobs for almost 1.5 million young people currently in employment.</p><p> </p>","Biography information for Mr David Gauke","South West Hertfordshire","Mr David Gauke","2014-10-27","211325"
"http://data.parliament.uk/resources/100108/answer","HM Treasury","<p>There is no definition of a part-time entrepreneur within the Taxes Acts. In general, the tax system treats part-time entrepreneurs in the same way as full-time entrepreneurs, and there are no plans to change this.</p><p> </p><p> </p><p> </p><p> </p>","Biography information for Mr David Gauke","South West Hertfordshire","Mr David Gauke","2014-10-29","211328"
