"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/426102","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, when Jonathan Dart commenced his duties as head of the Libyan Reconciliation Unit; when lawyers representing victims of terrorist attacks committed using Semtex supplied by Libya were advised of his appointment; on what dates Mr Dart met those lawyers (a) first and (b) subsequently; and what other contact Mr Dart has had with those lawyers.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14951","14951"
"http://data.parliament.uk/resources/426103","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what contact there has been between Government officials and Moussa Koussa since her departure from the UK in 2011; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14947","14947"
"http://data.parliament.uk/resources/426104","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, which (a) retired civil servants and (b) former Ministers travelled to Libya at public expense between 2002 and October 2011; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14948","14948"
"http://data.parliament.uk/resources/426105","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, which (a) retired civil servants and (b) former Ministers have travelled to Libya at public expense since October 2011; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14949","14949"
"http://data.parliament.uk/resources/426106","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what was discussed at the meeting between Sir John Scarlett and Moussa Koussa in the UK in 2001.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14950","14950"
"http://data.parliament.uk/resources/426107","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what (a) ex gratia and (b) other payments were made to Moussa Koussa by the UK Government in 2011; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14954","14954"
"http://data.parliament.uk/resources/426108","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what costs relating to the relocation of Moussa Koussa to Qatar in 2011 were met by the Government; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14955","14955"
"http://data.parliament.uk/resources/426109","2015-11-09","Department for Education","2015-11-04","To ask the Secretary of State for Education, what steps the Government has taken to (a) improve destination data for school leavers and (b) develop online portals to help advise school leavers of all post-16 learning options.","Biography information for Seema Malhotra","Seema Malhotra","House of Commons Tabled Parliamentary Question 2015/16 14828","14828"
"http://data.parliament.uk/resources/426110","2015-11-09","HM Treasury","2015-11-04","To ask Mr Chancellor of the Exchequer, what evidential basis there is for the link between enabling students from low and middle income backgrounds to attend university and improving UK productivity set out in his report, Fixing the foundations: Creating a more prosperous nation, published in July 2015.","Biography information for Seema Malhotra","Seema Malhotra","House of Commons Tabled Parliamentary Question 2015/16 14827","14827"
"http://data.parliament.uk/resources/426111","2015-11-09","Department for Business, Innovation and Skills","2015-11-04","To ask the Secretary of State for Business, Innovation and Skills, in what way the introduction of a faster route to degree-awarding powers set out in the HM Treasury report, Fixing the foundations: Creating a more prosperous nation, published in July 2015, will improve UK productivity.","Biography information for Seema Malhotra","Seema Malhotra","House of Commons Tabled Parliamentary Question 2015/16 14829","14829"
"http://data.parliament.uk/resources/426112","2015-11-09","Department for Business, Innovation and Skills","2015-11-04","To ask the Secretary of State for Business, Innovation and Skills, what plans the Government has to move away from the funding per qualification model for adult learners as set out in the HM Treasury report, Fixing the foundations: Creating a more prosperous nation, published in July 2015; and if he will make a statement.","Biography information for Seema Malhotra","Seema Malhotra","House of Commons Tabled Parliamentary Question 2015/16 14826","14826"
"http://data.parliament.uk/resources/426113","2015-11-09","Department for Business, Innovation and Skills","2015-11-04","To ask the Secretary of State for Business, Innovation and Skills, pursuant to the Answer of 12 October 2015 to Question 11315, whether local authorities (a) retain intellectual property rights over the postal addresses they have helped to create and (b) benefit financially from those rights from Royal Mail.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2015/16 14730","14730"
"http://data.parliament.uk/resources/426114","2015-11-09","Department for Education","2015-11-04","To ask the Secretary of State for Education, what assessment she has made of the effect of annual funding cycles on the ability of further education and sixth form colleges to undertake financial planning; what discussions she has had with Cabinet colleagues on that matter; what plans the Government has to change those funding cycles to reflect Government spending review cycles; and if she will make a statement.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2015/16 14932","14932"
"http://data.parliament.uk/resources/426115","2015-11-09","Department for Education","2015-11-04","To ask the Secretary of State for Education, what steps her Department is taking to increase the number of English and mathematics teachers in further education and sixth form colleges; and what effect those steps have had.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2015/16 14933","14933"
"http://data.parliament.uk/resources/426116","2015-11-09","Department for Education","2015-11-04","To ask the Secretary of State for Education, what representations she has received on increasing the number of English and mathematics teachers in further education and sixth form colleges.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2015/16 14934","14934"
"http://data.parliament.uk/resources/426117","2015-11-06","Department for Education","2015-11-04","To ask the Secretary of State for Education, what assessment she has made of the effect on the financial sustainability of sixth form colleges of (a) VAT and (b) pension costs; and if she will estimate the average proportion of a sixth form colleges budget which is spent on those costs.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2015/16 14892","14892"
"http://data.parliament.uk/resources/426118","2015-11-09","Department of Health","2015-11-04","To ask the Secretary of State for Health, whether NHS charges claim forms include a box for universal credit.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2015/16 14935","14935"
"http://data.parliament.uk/resources/426119","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, if he will support the establishment of a full, international, independent investigation by the United Nations into claims of genocide against the Rohingya in Burma.","Biography information for Mr David Burrowes","Mr David Burrowes","House of Commons Tabled Parliamentary Question 2015/16 14857","14857"
"http://data.parliament.uk/resources/426120","2015-11-06","Department for Energy and Climate Change","2015-11-04","To ask the Secretary of State for Energy and Climate Change, if she will take steps to promote the use of British welded steel instead of imported seamless steel in the shale gas exploration industry.","Biography information for Neil Parish","Neil Parish","House of Commons Tabled Parliamentary Question 2015/16 14676","14676"
"http://data.parliament.uk/resources/426121","2015-11-06","Ministry of Defence","2015-11-04","To ask the Secretary of State for Defence, how many former service personnel are in receipt of Armed Forces Independence Payments.","Biography information for Neil Coyle","Neil Coyle","House of Commons Tabled Parliamentary Question 2015/16 14797","14797"
"http://data.parliament.uk/resources/426122","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, when his Department plans to update guidance to Jobcentre Plus staff on claimants that report suicidal thoughts; and how such existing guidance is made available to those staff.","Biography information for Neil Coyle","Neil Coyle","House of Commons Tabled Parliamentary Question 2015/16 14716","14716"
"http://data.parliament.uk/resources/426123","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, what the average number of personal independence payment assessments undertaken each week was in September and October 2015.","Biography information for Neil Coyle","Neil Coyle","House of Commons Tabled Parliamentary Question 2015/16 14734","14734"
"http://data.parliament.uk/resources/426124","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent contact the Government has had with the Free Syrian Army.","Biography information for Graham Jones","Graham Jones","House of Commons Tabled Parliamentary Question 2015/16 14765","14765"
"http://data.parliament.uk/resources/426125","2015-11-09","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what estimate he has made of the number of Syrian children in Europe who are (a) vulnerable to trafficking and (b) unaccompanied.","Biography information for Hilary Benn","Hilary Benn","House of Commons Tabled Parliamentary Question 2015/16 14772","14772"
"http://data.parliament.uk/resources/426126","2015-11-09","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what assessment he has made of the effect of the creation of 28 states in South Sudan on the prospects for peace in that region.","Biography information for Hilary Benn","Hilary Benn","House of Commons Tabled Parliamentary Question 2015/16 14773","14773"
"http://data.parliament.uk/resources/426127","2015-11-09","Department for International Development","2015-11-04","To ask the Secretary of State for International Development, what assessment she has made of the adequacy of the financial contribution made by (a) the UK and (b) other nations to the UN World Food Programme to meet demand on that programme (i) in 2015 and (ii) from January 2016.","Biography information for Hilary Benn","Hilary Benn","House of Commons Tabled Parliamentary Question 2015/16 14770","14770"
"http://data.parliament.uk/resources/426128","2015-11-09","Department for International Development","2015-11-04","To ask the Secretary of State for International Development, what her objectives are for the World Humanitarian Summit in May 2016.","Biography information for Hilary Benn","Hilary Benn","House of Commons Tabled Parliamentary Question 2015/16 14771","14771"
"http://data.parliament.uk/resources/426129","2015-11-09","Department for International Development","2015-11-04","To ask the Secretary of State for International Development, what assessment she has made of the effect on Syrian refugees of fluctuations in the value of food vouchers provided by the World Food Programme.","Biography information for Hilary Benn","Hilary Benn","House of Commons Tabled Parliamentary Question 2015/16 14843","14843"
"http://data.parliament.uk/resources/426130","2015-11-09","Department for Education","2015-11-04","To ask the Secretary of State for Education, what steps her Department is taking to ensure schools in rural Suffolk receive an allocation of funding based on need.","Biography information for Dr Poulter","Dr   Poulter","House of Commons Tabled Parliamentary Question 2015/16 14777","14777"
"http://data.parliament.uk/resources/426131","2015-11-09","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what discussions he has had with the President of Egypt concerning that country's protest and counter-terrorism laws.","Biography information for Ann Clwyd","Ann Clwyd","House of Commons Tabled Parliamentary Question 2015/16 14837","14837"
"http://data.parliament.uk/resources/426132","2015-11-09","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what human rights concerns he plans to raise with President Abdel Fatah al-Sisi of Egypt during his forthcoming visit.","Biography information for Ann Clwyd","Ann Clwyd","House of Commons Tabled Parliamentary Question 2015/16 14968","14968"
"http://data.parliament.uk/resources/426133","2015-11-09","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what representations he made to the President Abdel Fatah al-Sisi of Egypt about the case of Israa Al-Taweel.","Biography information for Ann Clwyd","Ann Clwyd","House of Commons Tabled Parliamentary Question 2015/16 14913","14913"
"http://data.parliament.uk/resources/426134","2015-11-09","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, whether he raised with the President Abdel Fatah al-Sisi of Egypt the case of Mahmoud Mohamed Ahmed Hussein.","Biography information for Ann Clwyd","Ann Clwyd","House of Commons Tabled Parliamentary Question 2015/16 14914","14914"
"http://data.parliament.uk/resources/426135","2015-11-06","Department for Culture, Media and Sport","2015-11-04","To ask the Secretary of State for Culture, Media and Sport, what steps his Department is taking to secure a fair contribution from offshore digital betting operators to the 55th levy scheme.","Biography information for George Kerevan","George Kerevan","House of Commons Tabled Parliamentary Question 2015/16 14851","14851"
"http://data.parliament.uk/resources/426136","2015-11-06","Department for Culture, Media and Sport","2015-11-04","To ask the Secretary of State for Culture, Media and Sport, what progress he has made on what the timescale is for implementation of a Horserace Betting Right as a replacement for the Horserace Betting Levy.","Biography information for George Kerevan","George Kerevan","House of Commons Tabled Parliamentary Question 2015/16 14852","14852"
"http://data.parliament.uk/resources/426137","2015-11-09","Wales Office","2015-11-04","To ask the Secretary of State for Wales, with reference to the Written Statement by the Secretary of State for Scotland, HCWS282 whether he plans to bring forward proposals to amend the Draft Wales Bill to include a requirement that the National Assembly for Wales and the Welsh Government should not be abolished except on the basis of a decision of the people of Wales.","Biography information for Nia Griffith","Nia Griffith","House of Commons Tabled Parliamentary Question 2015/16 14775","14775"
"http://data.parliament.uk/resources/426138","2015-11-06","Wales Office","2015-11-04","To ask the Secretary of State for Wales, if he will publish the minutes of all the meetings held during the St David's Day process.","Biography information for Jonathan Edwards","Jonathan Edwards","House of Commons Tabled Parliamentary Question 2015/16 14798","14798"
"http://data.parliament.uk/resources/426139","2015-11-09","HM Treasury","2015-11-04","To ask Mr Chancellor of the Exchequer, pursuant to the Answer of 2 November 2015 to Question 13279, for what reason his Department has not estimated or calculated the number of families whose income will be reduced as a result of proposed changes to tax credits.","Biography information for Mr Jamie Reed","Mr Jamie Reed","House of Commons Tabled Parliamentary Question 2015/16 14749","14749"
"http://data.parliament.uk/resources/426140","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many men in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency aged (i) 60, (ii) 61, (iii) 62, (iv) 63, (v) 64, (vi) 65, (vii) 66 and (viii) 67 are in receipt of the carer addition element of pension credit.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14737","14737"
"http://data.parliament.uk/resources/426141","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many women in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency aged (i) 60, (ii) 61, (iii) 62, (iv) 63, (v) 64, (vi) 65, (vii) 66 and (viii) 67 are in receipt of the carer addition element of pension credit.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14738","14738"
"http://data.parliament.uk/resources/426142","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many people in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency who had claimed carer's allowance immediately prior to attaining state pension age have ceased to be eligible to claim that allowance upon their receipt of the state pension since (i) January 2015, (ii) January 2014, (iii) January 2013, (iv) January 2012, (v) January 2011, (vi) May 2010 and (vii) January 2010.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14803","14803"
"http://data.parliament.uk/resources/426143","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many women in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency who are aged (i) 60, (ii) 61, (iii) 62, (iv) 63, (v) 64, (vi) 65, (vii) 66, and (viii) 67 are in receipt of the state pension in the 2015-16  financial year.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14804","14804"
"http://data.parliament.uk/resources/426144","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many men in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency who are aged (i) 60, (ii) 61, (iii) 62, (iv) 63, (v) 64, (vi) 65, (vii) 66, and (viii) 67 are in receipt of the state pension in the 2015-16 financial year.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14805","14805"
"http://data.parliament.uk/resources/426145","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many women in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency who are aged (i) 60, (ii) 61, (iii) 62, (iv) 63, (v) 64, (vi) 65, (vii) 66, and (viii) 67 are in receipt of pension credit in the 2015-16 financial year.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14806","14806"
"http://data.parliament.uk/resources/426146","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many men in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency who are aged (i) 60, (ii) 61, (iii) 62, (iv) 63, (v) 64, (vi) 65, (vii) 66, and (viii) 67 are in receipt of pension credit in the 2015-16 financial year.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14807","14807"
"http://data.parliament.uk/resources/426147","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, what the cost of providing carer's allowance was to people in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency in the most recent period for which figures are available.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14711","14711"
"http://data.parliament.uk/resources/426148","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, what the cost of providing pension credit was to people in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency in the most recent period for which figures are available.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14712","14712"
"http://data.parliament.uk/resources/426149","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, what estimates he has made of expenditure on the state pension for people in (a) the UK, (b) Scotland, (c) Glasgow and (d) Glasgow East constituency in the most recent period for which figures are available.","Biography information for Natalie McGarry","Natalie McGarry","House of Commons Tabled Parliamentary Question 2015/16 14713","14713"
